company_name,count_salary_from_pln,mean_salary_from_pln,median_salary_from_pln,min_salary_from_pln,max_salary_from_pln,std_salary_from_pln
Bright Inventions,4,20000.0,20000.0,20000.0,20000.0,0.0
Britenet,4,13700.0,14000.0,10000.0,16800.0,3239.341496868358
Broadridge Financial Solutions Ltd,1,9000.0,9000.0,9000.0,9000.0,
Burda Media Polska,4,15000.0,15000.0,15000.0,15000.0,0.0
C&F,1,12000.0,12000.0,12000.0,12000.0,
C. H. Robinson,2,16500.0,16500.0,15000.0,18000.0,2121.3203435596424
CDQ,6,20550.0,20550.0,16100.0,25000.0,4874.730761795979
CDeX,4,20000.0,19500.0,14000.0,27000.0,5477.2255750516615
CERI International,8,7500.0,7500.0,7500.0,7500.0,0.0
CFI World S. A.,3,5500.0,5500.0,5500.0,5500.0,0.0
CKSource,10,18500.0,19000.0,14000.0,19000.0,1581.1388300841895
COIG S.A.,68,7250.0,7000.0,7000.0,8000.0,436.23217151270086
CONTELIZER,1,6500.0,6500.0,6500.0,6500.0,
CRED ,43,25860.46511627907,24000.0,20000.0,30000.0,3151.5785564639955
CRODU,25,25619.2,29400.0,18480.0,29400.0,4068.4005047028854
CStore SA,1,26000.0,26000.0,26000.0,26000.0,
CXC Global Poland SP z.o.o,19,47600.0,47600.0,47600.0,47600.0,0.0
Callstack,6,26500.0,26500.0,22000.0,31000.0,4929.503017546495
Caltha,1,5000.0,5000.0,5000.0,5000.0,
Capco Poland,3,21106.333333333332,20160.0,20159.0,23000.0,1639.9635158543413
Carnect / MicronNexus GmbH,1,24000.0,24000.0,24000.0,24000.0,
Cavendish Professionals,32,36000.0,36000.0,36000.0,36000.0,0.0
Centra,7,15285.714285714286,16000.0,8000.0,20000.0,4498.677054212187
Centrum Medyczne CMP,1,8000.0,8000.0,8000.0,8000.0,
Centrum e-Zdrowia,2,15000.0,15000.0,15000.0,15000.0,0.0
Centuria,1,11000.0,11000.0,11000.0,11000.0,
Cere Network,9,30030.0,30030.0,30030.0,30030.0,0.0
Ciklum ,39,20917.768205128203,21482.0,18493.2,28020.0,1940.1052121915982
Citi,6,11833.333333333334,13000.0,7000.0,16000.0,3970.726214015097
ClearCourse Dev,6,21333.333333333332,21000.0,21000.0,22000.0,516.3977794943225
Clearcode,6,16000.0,17000.0,10000.0,18000.0,2966.4793948382653
Cleeng sp. z o.o.,2,13500.0,13500.0,11000.0,16000.0,3535.5339059327375
